Sample,Batch,Condition
GSM4075844,GSE137344,Healthy
GSM4075847,GSE137344,Healthy
GSM4075850,GSE137344,Healthy
GSM4075859,GSE137344,UC_No
GSM4075860,GSE137344,UC_No
GSM4075862,GSE137344,Healthy
GSM4075868,GSE137344,UC_No
GSM4075870,GSE137344,Healthy
GSM4075872,GSE137344,Healthy
GSM4075878,GSE137344,UC_No
GSM4075881,GSE137344,Healthy
GSM4075886,GSE137344,Healthy
GSM4075890,GSE137344,UC_No
GSM4075895,GSE137344,Healthy
GSM4075903,GSE137344,Healthy
GSM4075904,GSE137344,Healthy
GSM4075906,GSE137344,Healthy
GSM4075907,GSE137344,Healthy
GSM4075909,GSE137344,Healthy
GSM4075912,GSE137344,Healthy
GSM4075916,GSE137344,Healthy
GSM4075918,GSE137344,Healthy
GSM4075919,GSE137344,UC_No
GSM4075921,GSE137344,Healthy
GSM4075926,GSE137344,Healthy
GSM4075928,GSE137344,Healthy
GSM4075929,GSE137344,Healthy
GSM4075930,GSE137344,Healthy
GSM4075940,GSE137344,UC_No
GSM4075941,GSE137344,UC_No
GSM4075954,GSE137344,UC_No
GSM4075956,GSE137344,Healthy
GSM4075958,GSE137344,UC_No
GSM4075965,GSE137344,Healthy
GSM4075967,GSE137344,Healthy
GSM4075968,GSE137344,Healthy
GSM4075973,GSE137344,UC_No
GSM4075979,GSE137344,Healthy
GSM4075983,GSE137344,UC_No
GSM4075984,GSE137344,Healthy
GSM4075986,GSE137344,UC_No
GSM4075991,GSE137344,UC_No
GSM4075996,GSE137344,UC_No
GSM4076002,GSE137344,Healthy
GSM4076009,GSE137344,Healthy
GSM4076011,GSE137344,UC_No
GSM4076012,GSE137344,UC_No
GSM4076014,GSE137344,UC_No
GSM4076017,GSE137344,Healthy
GSM4076018,GSE137344,Healthy
GSM4076019,GSE137344,Healthy
GSM4076021,GSE137344,Healthy
GSM4076024,GSE137344,Healthy
GSM4076025,GSE137344,Healthy
GSM4076028,GSE137344,Healthy
GSM4076029,GSE137344,UC_No
GSM4816281,GSE158952,UC_No
GSM4816283,GSE158952,UC_No
GSM4816308,GSE158952,UC_No
GSM4816310,GSE158952,UC_No
GSM4816360,GSE158952,UC_No
GSM4816362,GSE158952,UC_No
GSM5035182,GSE165512,Healthy
GSM5035183,GSE165512,Healthy
GSM5035184,GSE165512,Healthy
GSM5035185,GSE165512,Healthy
GSM5035186,GSE165512,Healthy
GSM5035187,GSE165512,Healthy
GSM5035188,GSE165512,Healthy
GSM5035189,GSE165512,Healthy
