"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"DUSP21",7.91481725189924,30.5562478686629,6.87778981474012,2.04351567876544e-10,3.95052451018936e-06,5.03779120480807
"GGACT",461.620827062275,1143.96688344965,6.38836357528698,2.49546877360843e-09,1.9762041763995e-05,3.91034106856249
"DMBT1",98674.3129939581,319124.206448258,6.34130279524625,3.15944836826182e-09,1.9762041763995e-05,3.80308831264948
"SIK1",273.769711790394,770.87877668696,6.28965813335821,4.08898029463998e-09,1.9762041763995e-05,3.68565968695775
"FDFT1",88.7490683136925,144.180964891721,6.10425963974054,1.02292664914351e-08,3.95504359624848e-05,3.26659994213008
"REG1A",256885.998070228,631571.601496064,6.05865325963036,1.27896416953823e-08,4.12082255425218e-05,3.16415192400723
"DNAJB13",108.42161153317,384.572632614468,5.82951950785642,3.87596487321355e-08,0.000107043075612806,2.6536257157382
"BCO1",487.297438535623,2474.29187332446,5.71989523122168,6.53374824525946e-08,0.000146682366162799,2.41203859283955
"PRUNE2",1117.95375133098,8172.46233562888,5.71056985236224,6.82878799640592e-08,0.000146682366162799,2.39157239368834
"SPINK1",5888.89242041037,24792.0149845225,5.64767768100591,9.18854478622644e-08,0.000165319788480292,2.25390310306983
"GRAMD2A",395.023707124483,2151.16311014706,5.64268719627492,9.40677463937105e-08,0.000165319788480292,2.24300618541204
"TGM2",4252.22565819227,30536.7440060426,5.40431863418684,2.84649358246812e-07,0.000423588514767754,1.72741199780141
"TSPO2",51.1167711910031,209.240987968452,5.40326459595933,2.86028798238112e-07,0.000423588514767754,1.72515425620436
"MUC1",671.453702039842,2543.74429479454,5.38799653504627,3.06757666395021e-07,0.000423588514767754,1.69247297080481
"PLA2G3",8.78590656218217,28.9486391972157,5.36741622819025,3.37033539628216e-07,0.000434368825872844,1.64848865456334
"CEACAM6",4198.14072201951,17486.9190209346,5.31063416042691,4.36492044381054e-07,0.000527391512623408,1.52754349758419
"GREP1",73.820149548364,116.81852067326,5.1842124402399,7.71686550661843e-07,0.000877543788082045,1.26049480407208
"CASP5",782.227039779868,3784.47878683486,5.1482176517705,9.06232042567309e-07,0.000973293213717289,1.18504165332836
"ZKSCAN8P1",-23.1845436382125,143.200497333236,-5.08810951856827,1.18340768376487e-06,0.00119059414787872,1.05963424456547
"MAB21L3",19.3042540527605,153.366693421924,5.07695617131537,1.24321833504257e-06,0.00119059414787872,1.0364471070202
"ADGRF4",14.7231627684392,99.1166756263238,5.06433603672453,1.31444252730242e-06,0.00119059414787872,1.01024222983484
"CLCA4",4464.76751187414,9665.65298163197,5.05745920155754,1.35490747223939e-06,0.00119059414787872,0.995977127268958
