"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CD177",42.5010715770497,3.95014167610359,0.554444491618417,7.12450341886016,1.04456597578479e-12,1.73617310835191e-08
"FOXD2",23.4103361302695,1.52000603834108,0.248171826476138,6.12481303749937,9.07901504841249e-10,7.5451154559832e-06
"CA1",53.5700553606158,3.81776979422153,0.651175118045199,5.862892620471,4.54872401735438e-09,2.52014472974824e-05
"GNG4",47.2759318663348,2.85831543750513,0.505666675716033,5.65256833161431,1.58067926349667e-08,5.25449400771563e-05
"SCNN1B",12.7596771209162,2.21315218816691,0.390884085454949,5.66191428743133,1.49693595014239e-08,5.25449400771563e-05
"KLK10",12.6574068729172,2.66490906629058,0.49617483362975,5.3709073610113,7.83414491656889e-08,0.000217018871097152
"ARHGAP44",104.161430103834,1.57299766186363,0.313941361936005,5.01048237850315,5.4293769977236e-07,0.0010027187912088
"CEACAM7",43.3263628895018,4.03355392002032,0.808301068452504,4.99016279632362,6.03284273635039e-07,0.0010027187912088
"TSC22D3",1742.66774861571,-1.22355727655349,0.244984729004052,-4.99442263820964,5.90120402399703e-07,0.0010027187912088
"TUBB2B",131.464849205776,-1.59117708658639,0.315754338812675,-5.03928811420188,4.67266617820287e-07,0.0010027187912088
"TFCP2L1",64.4559227261334,1.41067038471527,0.286926034725255,4.9164948941146,8.81074948102998e-07,0.00133130424658363
"SLC26A2",1767.67195595264,1.12860605610615,0.232628729102168,4.85153343038074,1.22510554303262e-06,0.00169687326922877
"IMPG1",11.359165882443,14.6094664675908,3.04210380609972,4.80242207326962,1.56757832409755e-06,0.00200420917883272
"H3C14",16.6614249018474,-16.2645890082043,3.43759611273026,-4.7313845125588,2.22993670118731e-06,0.00264741270788816
"CXCR4",810.059814271169,-1.61562782027695,0.347469396670289,-4.64969817704552,3.32421134783139e-06,0.00368344778748703
"TNFAIP3",650.74125989927,-0.743483050949845,0.160732288424452,-4.62559861641801,3.73518031392331e-06,0.00388015199985746
"TBC1D9B",309.026648030001,-2.36606355201178,0.514124999212094,-4.60211729761792,4.18217547600283e-06,0.00408893756392017
"SYT12",10.2939293438895,2.23512474546126,0.487440127326287,4.58543443626891,4.53043427637271e-06,0.00418335267264394
"DEPP1",263.123355367711,-1.20379745078345,0.263454098611641,-4.5692872387534,4.89385687421379e-06,0.00428109447927934
"INO80B",81.8166295008399,-1.06860660680302,0.238411087593965,-4.48220180356274,7.38768322378445e-06,0.00613953414312607
"CEACAM1",657.528330148408,0.962497728185588,0.217959430005909,4.41594900555343,1.00567792700709e-05,0.00759789673853858
"DDIT4",527.76657044451,-1.05275524265465,0.237960066974564,-4.42408365420062,9.68524887251782e-06,0.00759789673853858
"RHBDL2",15.2163028443225,1.80422250816792,0.410682530741947,4.39322925401374,1.11679249128051e-05,0.00773425333232221
"VSIG2",52.6133360459284,1.53794452104075,0.349354713924378,4.40224350707817,1.07137212652481e-05,0.00773425333232221
"CKB",528.161487657159,1.24285200760585,0.28691916797609,4.33171480446167,1.47952507399254e-05,0.00945814855955001
"GIP",14.1552801065836,3.0516564978717,0.703285344957847,4.33914416068858,1.43038672100558e-05,0.00945814855955001
"ZNG1F",96.5689522034751,-1.06144111684627,0.246671539884758,-4.3030546504966,1.6845927582411e-05,0.0103702282350835
"IFI44L",155.735650544181,-1.24007244321155,0.288984778200838,-4.29113412454453,1.77762900921884e-05,0.0105521327722237
"AHCYL2",531.833485236927,0.649459218724623,0.152573177354079,4.25670638828876,2.07460520409145e-05,0.0110930929275749
"LEFTY1",15.3662837351159,2.14762106340511,0.506919826605663,4.23660892844849,2.26920858875849e-05,0.0110930929275749
"PLAUR",102.297256044856,1.01875207920531,0.240216572339383,4.24097334036551,2.22552572500118e-05,0.0110930929275749
"PRSS16",102.821592010958,0.536763338585177,0.126621368094732,4.23912130047117,2.24396390613589e-05,0.0110930929275749
"RASL11A",108.043782695323,0.814434180832807,0.191300479178468,4.25735567589982,2.06859115463024e-05,0.0110930929275749
"SQOR",911.920174961571,0.505755104568123,0.119346326526355,4.23770985910016,2.25811318470364e-05,0.0110930929275749
"AFF2",29.6467031114855,-1.89242670719124,0.448347005320542,-4.22089739584247,2.43331681037945e-05,0.0110975439408377
